mlc_id,link,lat,lon,titulo,precio,precio_m2,base_m2,gastos_comunes,dormitorios,banos,piso,superficie_total,superficie_util,superficie_terraza,orientacion,servicio,escritorio
MLC-3854712330,https://portalinmobiliario.com/MLC-3854712330-la-minga-amplio-depto-3d3b-gran-terraza-roberto-del-rio-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=1&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,-33.4326402,-70.5992123,La Minga - Amplio Depto 3d/3b Gran Terraza Roberto Del Río,367194678,3249510,útil,290000,3,3,4,123 m²,113 m²,8 m²,,,
MLC-1844233307,https://portalinmobiliario.com/MLC-1844233307-departamento-en-venta-de-3-dorm-en-providencia-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=2&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,-33.43195,-70.6009697,Departamento En Venta De 3 Dorm. En Providencia,347180730,3654534,útil,270000,3,2,2,104 m²,95 m²,9 m²,NP,,Sí
MLC-2068835341,https://portalinmobiliario.com/MLC-2068835341-roberto-del-rio-el-vergel-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=3&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,-33.4322773,-70.5994038,Roberto Del Rio - El Vergel,367194662,3249510,útil,200000,3,3,4,115 m²,113 m²,,,,
MLC-4267869536,https://portalinmobiliario.com/MLC-4267869536-luis-thayer-ojeda-el-vergel-vista-despejada-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=4&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,-33.4319779,-70.5971941,Luis Thayer Ojeda - El Vergel - Vista Despejada,324716094,2873594,útil,210000,3,2,12,118 m²,113 m²,,N,Sí,
MLC-2076422187,https://portalinmobiliario.com/MLC-2076422187-departamento-en-venta-para-remodelar-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=5&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,-33.4227088,-70.5996616,Departamento En Venta Para Remodelar,366377782,2713909,útil,255000,4,3,7,150 m²,135 m²,,,Sí,
MLC-4161011390,https://portalinmobiliario.com/MLC-4161011390-amplio-departamento-140m-totales-2dorm-mas-servicio-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=6&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,-33.4319283,-70.5984076,Amplio Departamento!! 140m Totales 2dorm Mas Servicio!,365000000,2920000,útil,250000,3,2,2,140 m²,125 m²,15 m²,NP,Sí,
MLC-4219663656,https://portalinmobiliario.com/MLC-4219663656-3d2b-sala-estar-luminoso-vista-las-lilas-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=7&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,-33.4285444,-70.601798,"3d2b + Sala Estar - Luminoso, Vista - Las Lilas",359434167,3238146,útil,230000,4,2,,116 m²,111 m²,,,,
MLC-4174086090,https://portalinmobiliario.com/MLC-4174086090-excelente-departamento-sector-stade-francais-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=8&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,-33.4234854,-70.5967096,Excelente Departamento Sector Stade Français,363518646,3635186,útil,200000,3,3,6,115 m²,100 m²,,,Sí,
MLC-4272020412,https://portalinmobiliario.com/MLC-4272020412-departamento-en-venta-de-3-dorm-en-providencia-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=9&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,-33.4306226,-70.5909022,Departamento En Venta De 3 Dorm. En Providencia,388025521,3345048,útil,300000,3,3,3,116 m²,116 m²,,,,
MLC-2082125795,https://portalinmobiliario.com/MLC-2082125795-departamento-en-venta-de-3-dorm-en-providencia-_JM#polycard_client=search-map&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=map&position=10&type=item&tracking_id=bb57b9c9-54a7-4ae2-8c8a-507fbf0ef5a1&sid=search,-33.4274023,-70.598286,Departamento En Venta De 3 Dorm. En Providencia,365560886,3655609,útil,260000,3,2,11,125 m²,100 m²,25 m²,O,,
